,User_Addr,Class,Eyes,Ears,Back,Mouth,Horn,Tail
127,0x7cd377701b6e1f89c194b1fce442bc6fbc424aa3,Reptile,Cucumber Slice,Peace Maker,Hermit,Cute Bunny,Antenna,Grass Snake
128,0x7cd377701b6e1f89c194b1fce442bc6fbc424aa3,Dusk,Cucumber Slice,Nut Cracker,Garish Worm,Cute Bunny,Antenna,Carrot
129,0xab5162ba89f12b9ef6185f3af445e02c4597ce88,Reptile,Tricky,Swirl,Tri Spikes,Tiny Turtle,Incisor,Grass Snake
130,0xab5162ba89f12b9ef6185f3af445e02c4597ce88,Plant,Papi,Sakura,Pumpkin,Serious,Rose Bud,Yam
131,0xab5162ba89f12b9ef6185f3af445e02c4597ce88,Dusk,Clear,Small Frill,Snail Shell,Tiny Turtle,Lagging,Thorny Caterpillar
132,0x5760382d0c8951d46253e0a2e0854603b3195065,Reptile,Scar,Nimo,Garish Worm,Toothless Bite,Beech,Grass Snake
133,0x5760382d0c8951d46253e0a2e0854603b3195065,Plant,Chubby,Gill,Shiitake,Herbivore,Watermelon,Grass Snake
134,0x5760382d0c8951d46253e0a2e0854603b3195065,Plant,Papi,Lotus,Pumpkin,Pincer,Parasite,Fish Snack
135,0x8d55fbfd50d86fa7262b38e5686b9b2b5e6b4484,Aquatic,Sleepless,Bubblemaker,Mint,Cute Bunny,Oranda,Koi
136,0x8d55fbfd50d86fa7262b38e5686b9b2b5e6b4484,Aquatic,Clear,Gill,Scarab,Risky Fish,Arco,Nimo
137,0x8d55fbfd50d86fa7262b38e5686b9b2b5e6b4484,Plant,Cucumber Slice,Clover,Pumpkin,Serious,Cactus,Hot Butt
138,0xd309ae634b0596f7922a6e66f3837bc5e70cc8de,Bird,Mavis,Owl,Cupid,Little Owl,Kestrel,Post Fight
139,0xd309ae634b0596f7922a6e66f3837bc5e70cc8de,Plant,Papi,Rosa,Pumpkin,Serious,Leaf Bug,Carrot
